ECE Drive Cycle																																		
BPM																																		
Universal_Format																																		
Duty_Cycle_Definition=0																																		
Duty_Cycle_Input_Type=1																																		
Duty_Cycle_Drive_Type=0																																		
Duty_Cycle_DC_Bus_Voltage_Definition=0																																		
Duty_Cycle_Data=																																		
Period	Elapsed Time	Time	Points	Torque [Start]	Torque [End]	Current [Start]	Current [End]	Armature Copper DC	Armature Copper AC	Aux Armature Copper	Field Copper	Stator Back Iron	Stator Tooth	Magnet	Rotor Back Iron	Embedded Magnet Pole	Rotor Tooth	Stray Load Stator Iron	Stray Load Rotor Iron	Stray Load Armature Copper	Stray Load Field Copper	Friction Front Bearing	Friction Rear Bearing	Brush Friction	Brush Electrical	Windage	Windage Exterior Fan	Encoder	Speed [Start]	Speed [End]	Fault	Ambient Temp [End]	Altitude [End]	DC Bus Voltage
62	62	1	1	-27.89393939	-22.31515152	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9488.848485	9528.121212	0	0	0	0
63	63	1	1	-22.31515152	-20.1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9528.121212	9535.090909	0	0	0	0
64	64	1	1	-20.1	-19.553125	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9535.090909	9525.34375	0	0	0	0
65	65	1	1	-19.553125	-19.9	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9525.34375	9524.625	0	0	0	0
66	66	1	1	-19.9	-20.1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9524.625	9524.272727	0	0	0	0
67	67	1	1	-20.1	-19.553125	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9524.272727	9524.294118	0	0	0	0
68	68	1	1	-19.553125	-19.8969697	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9524.294118	9524.84375	0	0	0	0
69	69	1	1	-19.8969697	-20.1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9524.84375	9524.181818	0	0	0	0
70	70	1	1	-20.1	-32.91515152	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9524.181818	9524.181818	0	0	0	0
71	71	1	1	-32.91515152	-39.20625	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9524.181818	9092.151515	0	0	0	0
72	72	1	1	-39.20625	-39.084375	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9092.151515	8244.96875	0	0	0	0
73	73	1	1	-39.084375	-38.47272727	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8244.96875	7319.53125	0	0	0	0
74	74	1	1	-38.47272727	-36.41818182	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7319.53125	6394.969697	0	0	0	0
75	75	1	1	-36.41818182	-32.75151515	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6394.969697	5484.030303	0	0	0	0
76	76	1	1	-32.75151515	-26.37878788	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5484.030303	4591.393939	0	0	0	0
77	77	1	1	-26.37878788	-17.26666667	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4591.393939	3734.969697	0	0	0	0
78	78	1	1	-17.26666667	-7.203030303	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3734.969697	2907.69697	0	0	0	0
79	79	1	1	-7.203030303	-1.247058824	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2907.69697	2146.606061	0	0	0	0
80	80	1	1	-1.247058824	-0.612121212	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2146.606061	1424	0	0	0	0
81	81	1	1	-0.612121212	-19.33030303	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1424	727.2424242	0	0	0	0
